"diff_id","del","ins","mod","total","dummy"
"3",0,4,0,4,"dummy"
"7",0,2,3,5,"dummy"
"13",0,0,0,0,"dummy"
"14",2,6,1,9,"dummy"
"15",0,0,0,0,"dummy"
"18",0,3,0,3,"dummy"
"19",3,1,0,4,"dummy"
"20",1,6,0,7,"dummy"
"21",3,1,0,4,"dummy"
"23",0,0,1,1,"dummy"
"24",0,1,0,1,"dummy"
"27",1,2,3,6,"dummy"
"28",0,2,2,4,"dummy"
"29",0,2,0,2,"dummy"
"30",0,9,0,9,"dummy"
"31",0,0,1,1,"dummy"
"32",3,7,5,15,"dummy"
"33",7,5,0,12,"dummy"
"36",6,0,2,8,"dummy"
"37",0,7,0,7,"dummy"
"39",9,0,1,10,"dummy"
"40",0,0,0,0,"dummy"
"41",0,0,0,0,"dummy"
"42",0,0,0,0,"dummy"
"43",0,0,0,0,"dummy"
"45",1,16,0,17,"dummy"
"46",7,3,0,10,"dummy"
"47",0,4,0,4,"dummy"
"48",0,0,1,1,"dummy"
"49",0,0,1,1,"dummy"
"50",0,2,0,2,"dummy"
"52",17,0,0,17,"dummy"
"53",1,2,2,5,"dummy"
"54",1,2,0,3,"dummy"
"55",4,2,1,7,"dummy"
"56",1,1,0,2,"dummy"
"65",0,0,1,1,"dummy"
"66",4,1,0,5,"dummy"
"67",0,4,0,4,"dummy"
"70",2,7,0,9,"dummy"
"73",0,0,1,1,"dummy"
"75",0,0,1,1,"dummy"
"78",2,6,1,9,"dummy"
"79",1,0,0,1,"dummy"
"80",6,4,1,11,"dummy"
"85",2,2,0,4,"dummy"
"86",0,0,0,0,"dummy"
"87",5,0,2,7,"dummy"
"88",0,5,2,7,"dummy"
"91",0,4,4,8,"dummy"
"92",10,1,3,14,"dummy"
"93",0,0,2,2,"dummy"
"94",1,3,0,4,"dummy"
"95",2,0,0,2,"dummy"
"96",0,1,2,3,"dummy"
"97",0,1,4,5,"dummy"
"98",0,4,0,4,"dummy"
"99",0,1,0,1,"dummy"
"100",0,0,2,2,"dummy"
"101",4,0,0,4,"dummy"
"102",0,0,2,2,"dummy"
