gaoyifan/docker-strongswan;39;1
9seconds/homebrew-q;144;0
bryanlatten/docker-apt-cacher;23;1
kunickiaj/jmxtrans-docker;40;1
obushakim/obusMeanjs;2;0
enigmatic/BMBItemEffectiveness;2;0
avatarnewyork/docker-saltminion;86;1
vallard/gospark;44;1
rhargreaves/spa-demo-test-suite;211;1
andrexus/nginx-ldap-auth-daemon;72;1
stigbd/clubmemberservice;46;1
tsgkdt/sphinx-plantuml;117;1
gerasim13/flask;168;1
lijy91/phoenix-backend;265;1
alexebird/luffer;37;0
zpytel/angular2;138;1
Accenture/adop-nexus;81;1
ysaotome/docker-go-dev;51;1
n0v3xx/docker-ubuntu-apache-php;200;1
aaronmyatt/mv_shorl;269;1
bitrise-io/envman;113;1
d4nc00per/wercker-android-23;223;0
oba/ecs-consul-agent;9;1
marchandd/term_ssh_root_wine;131;0
jbye/docker-kapacitor;42;1
smiller171/docker-ssl-redirect;14;1
PurpleBooth/nginx-ssl-terminator;16;1
chipjacks/runlab;2;0
zachlatta/southbayfession;16;0
bitgandtter/k8s_php_test;77;0
christian-blades-cb/etcdbk;3;0
smarbos/subDB;384;0
hoist/hoist-poller;47;0
sumpfgottheit/sdi-hrng-base;32;0
atbaker/redis-example;21;1
dylanlindgren/docker-laravel-artisan;97;1
lightning18/rcj-leaderboards;384;1
valentine/docker-slackirc-env;52;1
teh-cmc/elasticsearch-thrift;26;1
marcpawl/gradle_native_global_definitions;148;1
frdmn/docker-cloudbot;242;0
nahuelhds/meanjs-test;2;0
gaurav8k/asset;237;1
PerfMonk/eclipse_cell;85;0
DINA-Web/dw-classifications;39;0
behance/docker-golang;64;1
embrasure/cleanroom;30;1
halstead/crops_webhook;63;1
gallegogt/lwan-calculator-api;75;0
citirex/affiliates;272;1
hashbang/hashbang.sh;119;1
CristinaSolana/wohh;2;0
zabawaba99/docker-gradle;48;1
brenninc/r-base;121;1
jlmonteagudo/sop;1;0
zachlatta/docker-java;95;1
dudanogueira/microerp;141;0
minimum-hsu/docker-openfalcon-portal;82;1
rdhyee/gitenberg_readability;174;0
webdizz/docker-oracle-xe-11g-sa;37;1
sapcc/sap-cookbook-docs;43;0
qualiboo/docker-testing-gemini;192;1
molejs/mole-dashboard;0;0
ngocquang/docker-apache-php-logentries;48;0
soumentrivedi/docker-uptime;65;1
Dockerlover/docker-kityminder;2;0
Chialab/docker-php;395;1
kennethzfeng/dockerize-python;146;1
yxeri/finalstage-site;249;1
rubicks/soctree;57;1
pauldavidgilligan-msm/docker-centos6-ejbca-service;46;0
gnue/dockerfile-epubcheck;27;1
joshuacox/docker-ansible;107;1
pkimber/fabric;108;0
sanger-pathogens/gubbins;62;0
HouseOfAgile/docker-wordpress-multilang;41;0
