repo_path,i_owner_type,i_stargazers,instructions,multi_process_tool,type
laikacultural/spaceport,Organization,4,22,supervisord,cmd
twillouer/mydocker,User,9,17,supervisord,cmd
LuaDist2/vanilla,Organization,0,25,supervisord,cmd
ChristianKniep/docker-monster,User,5,53,supervisord,cmd
socketplane/docker-ovs,Organization,115,22,supervisord,cmd
hemslo/dockerfiles,User,3,17,supervisord,cmd
justinlhudson/Dockerfiles,User,0,20,supervisord,cmd
ambling/hadoop-docker,User,1,8,supervisord,cmd
Cantara/ConfigService,Organization,1,33,supervisord,cmd
ojio/docker-images,Organization,0,7,supervisord,cmd
gmarcotte3/georgesrepos,User,0,25,supervisord,cmd
sysdia-solutions/thumbifier,Organization,1,8,supervisord,cmd
altran/_Whydah,Organization,1,55,supervisord,cmd
laikacultural/spaceport,Organization,4,27,supervisord,cmd
Marc-Calis/shimmer,User,0,37,supervisord,cmd
jsilence/docker-nginx-owncloud6-supervisord,User,3,23,supervisord,cmd
pauldavidgilligan-msm/docker-centos6-ejbca-service,User,1,37,supervisord,cmd
emccode/HeliosBurn,Organization,9,13,supervisord,cmd
nhantran/docker-images,User,0,89,supervisord,cmd
msopentechcn/open-hackathon,Organization,17,26,supervisord,cmd
mgkwill/docker-openvswitch,User,1,22,supervisord,cmd
jsilence/docker-nginx-owncloud6-supervisord,User,3,23,supervisord,cmd
Marc-Calis/shimmer,User,0,37,supervisord,cmd
pauldavidgilligan-msm/docker-centos6-ejbca-service,User,1,37,supervisord,cmd
emccode/HeliosBurn,Organization,9,13,supervisord,cmd
nhantran/docker-images,User,0,89,supervisord,cmd
msopentechcn/open-hackathon,Organization,17,26,supervisord,cmd
socketplane/docker-ovs,Organization,115,22,supervisord,cmd
kmkanagaraj/skyring-vagrant,User,0,24,supervisord,cmd
Sitback/docker-containers,Organization,1,11,supervisord,cmd
noeljarencio/Docker-Centos7-httpd,User,0,18,supervisord,cmd
indiehosters/docker-spamassassin,Organization,0,10,supervisord,cmd
catatnight/docker-utils,User,1,12,supervisord,cmd
fxmartin/docker-sshd-nginx,User,0,29,supervisord,cmd
jplock/haraka-http-forward,User,10,23,supervisord,cmd
dtag-dev-sec/honeytrap,Organization,5,24,supervisord,cmd
minatsu/docker,User,0,59,supervisord,cmd
minatsu/docker,User,0,59,supervisord,cmd
marchandd/term_ssh_user_firefox,User,2,15,supervisord,cmd
autodesk-cloud/ochothon,Organization,53,13,supervisord,cmd
ChristianKniep/centos6-compute,User,0,47,supervisord,cmd
sedsimon/docker-supervisord,User,0,6,supervisord,cmd
Jooho/sample-docker,User,1,30,supervisord,cmd
looztra/dockerfiles,User,2,7,supervisord,cmd
gislab-npo/gislab-ng,Organization,0,12,supervisord,cmd
asm-products/runbook-ops,Organization,12,17,supervisord,cmd
johanberglind/docker-flask-nginx,User,2,21,supervisord,cmd
magnetikonline/dockerhtml5validator,User,46,17,supervisord,cmd
akanto/dockerfiles,User,0,17,supervisord,cmd
kwk/docker-registry-setup,User,60,20,supervisord,cmd
blang/pushr,User,0,10,supervisord,cmd
Robpol86/FlashAirMusic,User,0,10,system.d,cmd
mko-x/docker-picture-gallery,User,2,40,supervisord,cmd
benc/debian-vagrant,User,0,18,supervisord,cmd
ruimo/df-ub1404-nginx-mainline,User,0,32,monit,cmd
willmurnane/Magstock-food-calculations,User,1,29,supervisord,cmd
google/git-appraise-web,Organization,25,20,supervisord,cmd
altran/_Whydah,Organization,1,28,supervisord,cmd
relateiq/docker_public,Organization,206,19,supervisord,cmd
EmergingTechnologyInstitute/acmeair-netflixoss-dockerlocal,Organization,33,6,supervisord,cmd
ogarcia/docker-taskd,User,3,11,s6,cmd
mitel/orientdb-docker,User,0,18,supervisord,cmd
hideakihal/docker-fig-redmine,User,0,28,supervisord,cmd
madkom/docker,Organization,5,48,supervisord,cmd
Kahn/docker-sks,User,0,26,supervisord,cmd
viki-org/storm-docker,Organization,41,5,supervisord,cmd
liverbool/docker-php56-fpm,User,0,14,supervisord,cmd
wurstmeister/storm-docker,User,183,10,supervisord,cmd
armedpot/ARMedPOT,User,3,35,supervisord,cmd
muccg/docker-openstack,Organization,4,8,supervisord,cmd
fabric8io/gofabric8,Organization,70,14,supervisord,cmd
EconomistDigitalSolutions/goberry,Organization,5,12,supervisord,cmd
cpswan/dockerfiles,User,2,27,supervisord,cmd
elarasu/weave-supervisord,User,0,9,supervisord,cmd
sebasmagri/docker-marconi,User,0,14,supervisord,cmd
thewtex/docker-opengl,User,36,6,supervisord,cmd
ministryofjustice/laa-legal-adviser-api,Organization,0,22,supervisord,cmd
Dockerlover/docker-java,Organization,0,16,supervisord,cmd
Dockerlover/docker-angularjs,Organization,0,13,supervisord,cmd
autodesk-cloud/ci-ochopod,Organization,7,17,supervisord,cmd
qnib/rpi-supervisor,Organization,0,9,supervisord,cmd
eryxlee/docker,User,1,16,supervisord,cmd
clayrichardson/phabridocker,User,0,8,supervisord,cmd
